"attackermoveset";"attackername";"attackerfastmove";"attackerspecialmove";"defendermoveset";"defendername";"defenderfastmove";"defenderspecialmove";"attackerattackmodifier";"attackerdefensemodifier";"attackeradvantage"
524;Cloyster;Ice Shard;Icy Wind;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
497;Dewgong;Frost Breath;Icy Wind;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
756;Lapras;Ice Shard;Ice Beam;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
521;Cloyster;Frost Breath;Icy Wind;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;836;Dragonite;Steel Wing;Dragon Claw;1,953125;1;1,953125
716;Jynx;Frost Breath;Ice Punch;836;Dragonite;Steel Wing;Dragon Claw;1,953125;0,888888896;1,73611116
469;Magneton;Spark;Flash Cannon;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
467;Magneton;Spark;Discharge;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
471;Magneton;Thunder Shock;Magnet Bomb;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
470;Magneton;Thunder Shock;Discharge;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
472;Magneton;Thunder Shock;Flash Cannon;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
468;Magneton;Spark;Magnet Bomb;836;Dragonite;Steel Wing;Dragon Claw;1,25;1,38888884;1,73611104
755;Lapras;Ice Shard;Dragon Pulse;836;Dragonite;Steel Wing;Dragon Claw;1,6015625;1;1,6015625
752;Lapras;Frost Breath;Dragon Pulse;836;Dragonite;Steel Wing;Dragon Claw;1,6015625;1;1,6015625
756;Lapras;Ice Shard;Ice Beam;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
521;Cloyster;Frost Breath;Icy Wind;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
524;Cloyster;Ice Shard;Icy Wind;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
497;Dewgong;Frost Breath;Icy Wind;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;835;Dragonite;Steel Wing;Hyper Beam;1,953125;1;1,953125
716;Jynx;Frost Breath;Ice Punch;835;Dragonite;Steel Wing;Hyper Beam;1,953125;0,888888896;1,73611116
468;Magneton;Spark;Magnet Bomb;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
470;Magneton;Thunder Shock;Discharge;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
788;Omastar;Rock Throw;Rock Slide;835;Dragonite;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
472;Magneton;Thunder Shock;Flash Cannon;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
786;Omastar;Rock Throw;Ancient Power;835;Dragonite;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
469;Magneton;Spark;Flash Cannon;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
467;Magneton;Spark;Discharge;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
471;Magneton;Thunder Shock;Magnet Bomb;835;Dragonite;Steel Wing;Hyper Beam;1,25;1,38888884;1,73611104
755;Lapras;Ice Shard;Dragon Pulse;835;Dragonite;Steel Wing;Hyper Beam;1,6015625;1;1,6015625
752;Lapras;Frost Breath;Dragon Pulse;835;Dragonite;Steel Wing;Hyper Beam;1,6015625;1;1,6015625
521;Cloyster;Frost Breath;Icy Wind;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
756;Lapras;Ice Shard;Ice Beam;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
524;Cloyster;Ice Shard;Icy Wind;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
497;Dewgong;Frost Breath;Icy Wind;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;1;1,953125
716;Jynx;Frost Breath;Ice Punch;834;Dragonite;Steel Wing;Dragon Pulse;1,953125;0,888888896;1,73611116
