"defendermoveset";"defendername";"defenderfastmove";"defenderspecialmove";"rating"
167;Nidoqueen;Bite;Earthquake;1
49;Blastoise;Water Gun;Ice Beam;2
52;Blastoise;Bite;Ice Beam;2
310;Golduck;Water Gun;Ice Beam;2
337;Arcanine;Bite;Bulldoze;2
355;Poliwrath;Mud Shot;Ice Punch;2
457;Slowbro;Water Gun;Ice Beam;2
673;Seadra;Water Gun;Blizzard;2
638;Weezing;Tackle;Shadow Ball;3
639;Weezing;Tackle;Dark Pulse;3
150;Sandslash;Mud Shot;Rock Tomb;4
185;Nidoking;Fury Cutter;Earthquake;4
195;Clefable;Pound;Psychic;4
197;Clefable;Zen Headbutt;Dazzling Gleam;4
198;Clefable;Zen Headbutt;Psychic;4
199;Clefable;Zen Headbutt;Moonblast;4
286;Dugtrio;Sucker Punch;Stone Edge;4
289;Dugtrio;Mud Shot;Stone Edge;4
413;Tentacruel;Acid;Hydro Pump;4
416;Tentacruel;Poison Jab;Hydro Pump;4
572;Kingler;Mud Shot;Vice Grip;4
573;Kingler;Mud Shot;X-Scissor;4
219;Wigglytuff;Pound;Hyper Beam;5
444;Rapidash;Low Kick;Drill Run;5
284;Dugtrio;Sucker Punch;Earthquake;6
285;Dugtrio;Sucker Punch;Mud Bomb;6
313;Golduck;Confusion;Ice Beam;6
322;Primeape;Low Kick;Night Slash;6
325;Primeape;Karate Chop;Night Slash;6
460;Slowbro;Confusion;Ice Beam;6
475;Farfetch'd;Cut;Leaf Blade;6
498;Dewgong;Frost Breath;Aqua Jet;6
501;Dewgong;Ice Shard;Aqua Jet;6
522;Cloyster;Frost Breath;Hydro Pump;6
525;Cloyster;Ice Shard;Hydro Pump;6
676;Seadra;Dragon Breath;Blizzard;6
677;Seadra;Dragon Breath;Dragon Pulse;6
688;Seaking;Poison Jab;Icy Wind;6
699;Starmie;Quick Attack;Psybeam;6
740;Tauros;Tackle;Iron Head;6
743;Tauros;Zen Headbutt;Iron Head;6
383;Machamp;Bullet Punch;Stone Edge;7
698;Starmie;Quick Attack;Power Gem;7
308;Golduck;Water Gun;Psychic;8
312;Golduck;Confusion;Hydro Pump;8
352;Poliwrath;Bubble;Ice Punch;8
586;Electrode;Tackle;Hyper Beam;8
616;Hitmonchan;Bullet Punch;Thunder Punch;8
733;Pinsir;Rock Smash;Vice Grip;8
752;Lapras;Frost Breath;Dragon Pulse;8
755;Lapras;Ice Shard;Dragon Pulse;8
98;Raticate;Bite;Dig;9
99;Raticate;Bite;Hyper Fang;9
100;Raticate;Bite;Hyper Beam;9
296;Persian;Scratch;Night Slash;9
297;Persian;Scratch;Power Gem;9
614;Hitmonchan;Bullet Punch;Fire Punch;9
775;Porygon;Quick Attack;Signal Beam;9
778;Porygon;Tackle;Signal Beam;9
53;Blastoise;Bite;Hydro Pump;10
311;Golduck;Confusion;Psychic;10
459;Slowbro;Confusion;Psychic;10
720;Jynx;Pound;Psyshock;10
134;Raichu;Thunder Shock;Brick Break;11
137;Raichu;Spark;Brick Break;11
415;Tentacruel;Acid;Blizzard;11
418;Tentacruel;Poison Jab;Blizzard;11
724;Electabuzz;Low Kick;Thunder Punch;11
725;Electabuzz;Low Kick;Thunderbolt;11
726;Electabuzz;Low Kick;Thunder;11
164;Nidoqueen;Poison Jab;Earthquake;12
182;Nidoking;Poison Jab;Earthquake;12
233;Golbat;Bite;Poison Fang;12
456;Slowbro;Water Gun;Psychic;12
